Ques,Answer,Person1,Person2,Person3,Person4,Person5,Person6,Person7,Person8,Person9,Person10,Person11,Person12,Person13,Person14,Person15,Person16
Q1,1,1,1,0,0,1,1,0,0,1,1,0,1,1,1,0,0
Q1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Q1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Q1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Q1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Q1,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q3,2,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1
Q3,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Q4,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Q4,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
Q4,3,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Q4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
Q4,5,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
Q4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Q4,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Q5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Q5,3,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
Q5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q6,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Q6,2,1,0,1,1,1,0,0,1,0,0,0,1,1,1,1,1
Q7,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Q7,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
Q7,3,1,0,0,1,1,0,0,0,1,0,1,0,0,1,1,0
Q7,4,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
Q7,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Q7,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Q8,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
Q8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Q8,3,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0
